"state.abb","state.area","center.longitude","center.latitude"
"RI",1214,-71.1244,41.5928
"DE",2057,-74.9841,38.6777
"CT",5009,-72.3573,41.5928
"HI",6450,-126.25,31.75
"NJ",7836,-74.2336,39.9637
"MA",8257,-71.58,42.3645
"NH",9304,-71.3924,43.3934
"VT",9609,-72.545,44.2508
"MD",10577,-76.6459,39.2778
"WV",24181,-80.6665,38.4204
"SC",31055,-80.5056,33.619
"ME",33215,-68.9801,45.6226
"IN",36291,-86.0808,40.0495
"KY",40395,-84.7674,37.3915
"VA",40815,-78.2005,37.563
"OH",41222,-82.5963,40.221
"TN",42244,-86.456,35.6767
"PA",45333,-77.45,40.9069
"MS",47716,-89.8065,32.6758
"LA",48523,-92.2724,30.6181
"NY",49576,-75.1449,43.1361
"AL",51609,-86.7509,32.5901
"NC",52586,-78.4686,35.4195
"AR",53104,-92.2992,34.7336
"WI",56154,-89.9941,44.5937
"IA",56290,-93.3714,41.9358
"IL",56400,-89.3776,40.0495
"MI",58216,-84.687,43.1361
"FL",58560,-81.685,27.8744
"GA",58876,-83.3736,32.3329
"WA",68192,-119.746,47.4231
"MO",69686,-92.5137,38.3347
"OK",69919,-97.1239,35.5053
"ND",70665,-100.099,47.2517
"SD",77047,-99.7238,44.3365
"NE",77227,-99.5898,41.3356
"KS",82264,-98.1156,38.4204
"ID",83557,-113.93,43.5648
"MN",84068,-94.6043,46.3943
"UT",84916,-111.33,39.1063
"OR",96981,-120.068,43.9078
"WY",97914,-107.256,43.0504
"CO",104247,-105.513,38.6777
"NV",110540,-116.851,39.1063
"AZ",113909,-111.625,34.2192
"NM",121666,-105.942,34.4764
"MT",147138,-109.32,46.823
"CA",158693,-119.773,36.5341
"TX",267339,-98.7857,31.3897
"AK",589757,-127.25,49.25
